APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,RandomForest,68,911,0,21391,1183,1.0,0.4350525310410697,0.6063227953410981,0.9496274217585693
facebook,10,2,RandomForest,68,427,0,21648,1410,1.0,0.23244420250408274,0.37720848056537104,0.9399616776665957
instagram,10,2,RandomForest,68,1577,0,21452,456,1.0,0.7757009345794392,0.8736842105263157,0.9805833510751544
replaio_radio,10,2,RandomForest,68,1745,0,21673,67,1.0,0.9630242825607064,0.9811639021647456,0.9971471151799021
skype,10,2,RandomForest,68,3110,8056,12319,0,0.2785240909905069,1.0,0.43569627346595685,0.6569725356610603
spotify,10,2,RandomForest,68,1437,0,18520,3528,1.0,0.2894259818731118,0.4489222118088098,0.8497764530551416
torbrowser_alpha,10,2,RandomForest,68,858,2454,19679,494,0.25905797101449274,0.6346153846153846,0.36792452830188677,0.8744730679156909
twitch,10,2,RandomForest,68,815,0,21785,885,1.0,0.47941176470588237,0.6481113320079522,0.9623163721524377
utorrent,10,2,RandomForest,68,1128,2,21350,1005,0.9982300884955753,0.5288326300984529,0.6913882929819185,0.9571215669576325
youtube,10,2,RandomForest,68,965,0,21036,1484,1.0,0.3940383830134749,0.5653192735793791,0.9368107302533532
