APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,SVC,68,844,65,21326,1250,0.9284928492849285,0.40305635148042024,0.5621045621045622,0.9440068128592719
facebook,10,2,SVC,68,383,145,21503,1454,0.7253787878787878,0.2084921066956995,0.32389006342494714,0.9319139876516925
instagram,10,2,SVC,68,1316,152,21300,717,0.896457765667575,0.647319232661092,0.7517852042273635,0.9629976580796253
replaio_radio,10,2,SVC,68,1714,27,21646,98,0.9844916714531878,0.9459161147902869,0.9648184632704756,0.9946774536938472
skype,10,2,SVC,68,1605,6,20369,1505,0.9962756052141527,0.5160771704180064,0.679940690531667,0.9356610602512242
spotify,10,2,SVC,68,1301,142,18378,3664,0.9015939015939016,0.2620342396777442,0.4060549313358302,0.8379391100702576
torbrowser_alpha,10,2,SVC,68,570,60,22073,782,0.9047619047619048,0.42159763313609466,0.5751765893037335,0.9641473280817543
twitch,10,2,SVC,68,761,68,21717,939,0.9179734620024126,0.4476470588235294,0.6018189007512851,0.9571215669576325
utorrent,10,2,SVC,68,2131,11159,10193,2,0.16034612490594433,0.9990623534927332,0.27634053037671014,0.5247604854162231
youtube,10,2,SVC,68,894,142,20894,1555,0.862934362934363,0.36504695794201714,0.5130559540889527,0.9277411113476687
