APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,XGB,68,958,60,21331,1136,0.9410609037328095,0.4574976122254059,0.615681233933162,0.9490738769427294
facebook,10,2,XGB,68,433,18,21630,1404,0.9600886917960089,0.2357103973870441,0.3784965034965035,0.939450713221205
instagram,10,2,XGB,68,1577,0,21452,456,1.0,0.7757009345794392,0.8736842105263157,0.9805833510751544
replaio_radio,10,2,XGB,68,1745,3,21670,67,0.9982837528604119,0.9630242825607064,0.9803370786516854,0.9970193740685543
skype,10,2,XGB,68,3110,9493,10882,0,0.24676664286281044,1.0,0.39585056959205756,0.5957845433255269
spotify,10,2,XGB,68,1437,1,18519,3528,0.9993045897079277,0.2894259818731118,0.44885210057785413,0.8497338726846924
torbrowser_alpha,10,2,XGB,68,744,632,21501,608,0.5406976744186046,0.5502958579881657,0.5454545454545454,0.9472003406429635
twitch,10,2,XGB,68,815,0,21785,885,1.0,0.47941176470588237,0.6481113320079522,0.9623163721524377
utorrent,10,2,XGB,68,1137,357,20995,996,0.7610441767068273,0.5330520393811533,0.6269644334160465,0.9423887587822014
youtube,10,2,XGB,68,965,0,21036,1484,1.0,0.3940383830134749,0.5653192735793791,0.9368107302533532
