APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,RandomForest,68,911,0,21221,1169,1.0,0.43798076923076923,0.6091608157806753,0.9498304793785675
facebook,10,2,RandomForest,68,427,3,21476,1395,0.9930232558139535,0.23435784851811198,0.3792184724689165,0.9400025749967813
instagram,10,2,RandomForest,68,1577,0,21274,450,1.0,0.7779970399605328,0.8751387347391788,0.9806875241405948
replaio_radio,10,2,RandomForest,68,1745,0,21494,62,1.0,0.965688987271721,0.982545045045045,0.9973391699927042
skype,10,2,RandomForest,68,3094,6717,13489,1,0.31536030985628377,0.9996768982229403,0.4794669146133581,0.7116861937255912
spotify,10,2,RandomForest,68,1437,0,18400,3464,1.0,0.2932054682717813,0.45345534869043863,0.8513368524956011
torbrowser_alpha,10,2,RandomForest,68,851,2476,19483,491,0.25578599338743613,0.6341281669150521,0.3645320197044335,0.8726664091669886
twitch,10,2,RandomForest,68,815,9,21616,861,0.9890776699029126,0.4862768496420048,0.652,0.9626625466718166
utorrent,10,2,RandomForest,68,1128,1146,20035,992,0.49604221635883905,0.5320754716981132,0.5134274010013655,0.908244281361315
youtube,10,2,RandomForest,68,965,0,20870,1466,1.0,0.3969559851912793,0.5683156654888103,0.93708424531136
