APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,KNN,68,990,2890,18331,1090,0.2551546391752577,0.47596153846153844,0.3322147651006711,0.8291918801768164
facebook,10,2,KNN,68,305,394,21085,1517,0.4363376251788269,0.16739846322722282,0.24196747322491072,0.9179863525170594
instagram,10,2,KNN,68,1006,332,20942,1021,0.7518684603886397,0.4962999506660089,0.5979197622585438,0.9419338225827217
replaio_radio,10,2,KNN,68,1670,107,21387,137,0.939786156443444,0.9241837299391257,0.9319196428571429,0.9895283464229003
skype,10,2,KNN,68,1632,456,19750,1463,0.7816091954022989,0.5273021001615509,0.6297511093961027,0.9176430196128922
spotify,10,2,KNN,68,1168,226,18174,3733,0.8378766140602583,0.2383187104672516,0.37108816521048454,0.8300931290502553
torbrowser_alpha,10,2,KNN,68,342,94,21865,1000,0.7844036697247706,0.2548435171385991,0.38470191226096734,0.9530492253551349
twitch,10,2,KNN,68,675,285,21340,1001,0.703125,0.40274463007159905,0.5121396054628224,0.9448092356551221
utorrent,10,2,KNN,68,1739,8031,13150,381,0.17799385875127943,0.8202830188679245,0.2925147182506308,0.638985451268186
youtube,10,2,KNN,68,698,261,20609,1733,0.7278415015641293,0.28712464006581656,0.41179941002949855,0.9144242736363246
