LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
youtube,streaming,0.02343663143491632,9.298324584960938e-05,0.7300229072570801,0.09395917804030528,0.1453092063174528,0.00029921531677246094,1.083111047744751,0.2170567593473816,0.013834856597470566,9.298324584960938e-05,2.6212689876556396,0.1478566605076486,9.913695096969604,9.913695096969604,9.913695096969604,0.0,0.0,0.0,0.0,0.0,9.913695096969604,59061.126479366765,42.66824789974645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.61111111111111,18,55,10.6,5,40,18,3,33,12,46,15,46,5,4,20,2,2,7,2,40,0,0,0,0,0,8,3,355,13,0,2,10,2,11,355,68,423,585514,192.168.37.39,94.23.150.81
youtube,streaming,0.014117641581429375,8.606910705566406e-05,0.7660729885101318,0.06390485565291286,0.06600455804304643,0.00012683868408203125,0.8367350101470947,0.138408117900375,0.015582072439968796,8.606910705566406e-05,4.981204032897949,0.21107306683057797,10.16470193862915,10.16470193862915,10.16470193862915,0.0,0.0,0.0,0.0,0.0,10.16470193862915,100433.933642493,70.83336081540841,1,1,1,1,1,1,1,1,1,1,18.129032258064516,31,41,11.727272727272727,11,72,23,21,19,35,35,41,15,4,25,12,16,2,2,2,12,2,2,13,3,3,36,4,541,15,0,18,16,9,12,566,154,720,1020881,192.168.37.39,94.23.150.81
youtube,streaming,0.01604312815164265,8.702278137207031e-05,1.1332359313964844,0.07996994601279353,0.03779817926280693,0.00014090538024902344,1.1332359313964844,0.12483940959976204,0.023463435322470815,8.702278137207031e-05,4.5515971183776855,0.2620352066621872,9.75422191619873,9.75422191619873,9.75422191619873,0.0,0.0,0.0,0.0,0.0,9.75422191619873,80970.0667859922,62.33198354758579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.75,16,40,27.444444444444443,9,118,22,22,20,35,23,40,7,12,34,18,2,22,9,11,2,2,74,118,7,0,50,66,341,15,0,38,1,20,2,351,257,608,789800,192.168.37.39,94.23.150.81
youtube,streaming,0.011348342841198341,1.9073486328125e-06,0.656588077545166,0.05377043559081434,0.02608336391249252,0.000102996826171875,0.6652278900146484,0.08184118408150665,0.009611107168659087,8.606910705566406e-05,2.1116981506347656,0.09698464835667527,9.963845014572144,9.963845014572144,9.963845014572144,0.0,0.0,0.0,0.0,0.0,9.963845014572144,112215.11357962566,88.11859264329415,1,-1,1,1,1,1,1,1,1,1,15.935483870967742,31,39,27.76923076923077,13,199,13,18,7,20,10,10,24,26,17,8,66,9,2,12,15,2,18,10,2,3,49,34,506,37,1,48,28,36,43,496,382,878,1118094,192.168.37.39,94.23.150.81
youtube,streaming,0.01282182956735293,8.797645568847656e-05,0.7340140342712402,0.06636736970097644,0.029571066389570723,8.797645568847656e-05,0.7340140342712402,0.10214101593028085,0.01054408029578198,9.512901306152344e-05,1.7725350856781006,0.10142380634054303,9.84716510772705,9.84716510772705,9.84716510772705,0.0,0.0,0.0,0.0,0.0,9.84716510772705,95195.51969981892,77.99198973492908,1,1,1,1,1,1,1,1,1,1,19.727272727272727,22,34,35.333333333333336,9,160,20,31,17,30,28,28,29,5,33,17,43,2,8,2,2,55,10,36,160,0,22,40,439,16,0,80,19,53,46,435,333,768,937406,192.168.37.39,94.23.150.81
youtube,streaming,0.012710966285646271,2.002716064453125e-05,0.6983661651611328,0.06274488222108503,0.02827915265855597,0.000186920166015625,0.7066941261291504,0.0955485285383294,0.009402124741498161,0.00013494491577148438,1.411283016204834,0.08155255882459052,9.812865972518921,9.812865972518921,9.812865972518921,0.0,0.0,0.0,0.0,0.0,9.812865972518921,88160.27880363796,78.67222503211576,1,1,1,1,1,1,1,1,1,1,17.625,24,47,27.666666666666668,12,118,14,19,12,14,34,13,3,16,3,15,82,18,2,8,2,16,2,17,16,33,25,33,446,8,0,39,77,42,73,425,347,772,865105,192.168.37.39,94.23.150.81
youtube,streaming,0.011003331414290838,4.696846008300781e-05,0.9270420074462891,0.05659080017888919,0.024403428087140074,0.00015306472778320312,0.9270420074462891,0.08522846886695866,0.014981703545019879,9.822845458984375e-05,4.422930955886841,0.20645331165277092,9.85898494720459,9.85898494720459,9.85898494720459,0.0,0.0,0.0,0.0,0.0,9.85898494720459,114569.09672230178,90.88156689538827,1,1,1,1,1,1,1,1,1,1,16.896551724137932,29,37,32.0,12,228,3,11,20,10,3,5,28,27,19,19,39,52,13,14,2,12,2,2,8,228,22,22,519,32,0,78,47,81,16,492,404,896,1129535,192.168.37.39,94.23.150.81
youtube,streaming,0.012614302115865273,7.605552673339844e-05,0.9578030109405518,0.06872049077308945,0.031074256431765673,0.0035469532012939453,0.9578030109405518,0.10743817643560905,0.012370254099369048,0.00012183189392089844,3.1833038330078125,0.14852743896985146,10.19235610961914,10.19235610961914,10.19235610961914,0.0,0.0,0.0,0.0,0.0,10.19235610961914,101762.43734470117,79.27509511146708,1,1,1,1,1,1,1,1,1,1,19.12,25,54,26.0,12,73,5,2,9,54,43,24,9,12,42,3,61,9,20,2,6,3,6,2,21,37,27,23,538,22,0,46,17,81,33,480,328,808,1037199,192.168.37.39,94.23.150.81
youtube,streaming,0.01922689392899249,9.989738464355469e-05,0.8063919544219971,0.08314214022890173,0.04551855353421943,0.00010704994201660156,0.8063919544219971,0.1264180641737372,0.006932354297767691,9.989738464355469e-05,0.8898630142211914,0.052552484804141694,9.786489009857178,9.786489009857178,9.786489009857178,0.0,0.0,0.0,0.0,0.0,9.786489009857178,66228.34801604287,52.010480928075786,1,1,1,1,1,1,1,1,1,1,19.466666666666665,15,33,25.625,8,104,30,14,32,24,16,33,28,8,21,3,29,35,9,2,8,2,16,104,0,0,19,2,321,39,0,33,30,22,8,294,215,509,648143,192.168.37.39,94.23.150.81
youtube,streaming,0.01647579968473151,8.296966552734375e-05,0.6828310489654541,0.06870773137372277,0.029459713466131864,0.000141143798828125,0.6828310489654541,0.09291943614983267,0.020554788184888435,8.296966552734375e-05,3.122642993927002,0.19959365678487542,9.869004011154175,9.869004011154175,9.869004011154175,0.0,0.0,0.0,0.0,0.0,9.869004011154175,67074.14438699622,60.695081218225916,1,1,1,1,1,1,1,1,1,1,17.4,15,31,46.142857142857146,7,122,19,11,12,4,10,20,23,17,15,17,38,17,13,9,20,104,122,0,0,0,35,82,274,29,0,40,2,32,59,264,335,599,661955,192.168.37.39,94.23.150.81
youtube,streaming,0.019400728192114785,0.00010204315185546875,0.6963989734649658,0.0775559455050424,0.03177491059670082,0.000102996826171875,0.6963989734649658,0.09878652071445647,0.018798788588250702,0.00010204315185546875,1.7951059341430664,0.14237561358334982,9.913772106170654,9.913772106170654,9.913772106170654,0.0,0.0,0.0,0.0,0.0,9.913772106170654,58779.54362470081,51.544456996538884,1,1,1,1,1,1,1,1,1,1,16.416666666666668,12,26,30.7,10,174,26,6,8,4,16,10,20,22,19,17,43,8,18,2,32,15,2,2,11,174,26,39,205,83,0,34,17,6,33,199,312,511,582727,192.168.37.39,94.23.150.81
youtube,streaming,0.019532413463892898,0.0001251697540283203,0.6062419414520264,0.07785585518313314,0.03296500345401194,0.0029501914978027344,0.6062419414520264,0.10358531664807905,0.022870000433806634,0.0002429485321044922,2.6509618759155273,0.1964823559717725,9.922466039657593,9.922466039657593,9.922466039657593,0.0,0.0,0.0,0.0,0.0,9.922466039657593,54671.18736732102,51.19695023088536,1,1,1,1,1,1,1,1,1,1,12.875,16,26,41.42857142857143,7,151,4,10,15,16,3,12,16,8,10,10,18,14,21,9,21,56,151,0,0,0,27,24,243,4,0,24,47,65,54,207,301,508,542473,192.168.37.39,94.23.150.81
