LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
youtube,streaming,0.0051720812107328915,8.916854858398438e-05,0.6246860027313232,0.025684578074919615,0.07405654059516059,0.0001461505889892578,0.9662909507751465,0.128062105383466,0.005557100154931872,0.00011110305786132812,0.6246860027313232,0.033944296065118756,9.99763298034668,9.99763298034668,9.99763298034668,0.0,0.0,0.0,0.0,0.0,9.99763298034668,283368.4738746793,193.3457653226405,1,-1,1,-1,-1,-1,-1,-1,1,-1,20.352272727272727,88,55,4.0,13,9,5,9,17,28,9,19,2,6,32,32,3,3,3,2,2,5,2,5,5,4,17,1,1818,2,0,1,8,15,8,1798,135,1933,2833014,192.168.37.39,94.23.150.81
youtube,streaming,0.0034720978774944967,8.702278137207031e-05,0.3177359104156494,0.015615412860838576,0.05193431302905083,0.00011897087097167969,0.7486109733581543,0.09333465894951419,0.003719932663258942,0.00012302398681640625,0.5182950496673584,0.022103790758437592,10.003113985061646,10.003113985061646,10.003113985061646,0.0,0.0,0.0,0.0,0.0,10.003113985061646,421812.2482959987,288.01031401845466,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,22.008196721311474,122,45,4.0,22,16,8,23,14,8,37,35,9,29,9,4,6,4,2,2,7,4,2,4,2,12,20,0,2713,13,1,0,1,34,6,2689,192,2881,4219436,192.168.37.39,94.23.150.81
youtube,streaming,0.0031841624160283822,1.0967254638671875e-05,0.8745388984680176,0.018450933236309957,0.03945666195386909,0.0001239776611328125,0.8745388984680176,0.06932052234112013,0.0034472578676977947,0.00011897087097167969,1.3269898891448975,0.02690448750445082,9.963244199752808,9.963244199752808,9.963244199752808,0.0,0.0,0.0,0.0,0.0,9.963244199752808,456648.34754455584,314.0543318287463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.970802919708028,137,51,9.384615384615385,13,24,28,34,36,39,29,34,10,22,18,17,19,17,10,11,2,5,2,15,24,10,19,0,2933,4,0,1,21,53,16,2878,251,3129,4549699,192.168.37.39,94.23.150.81
youtube,streaming,0.004069321151626737,8.797645568847656e-05,1.5729711055755615,0.037078521385559365,0.04042747958761747,0.00011706352233886719,1.5729711055755615,0.12789226522754524,0.003114511914401429,0.000125885009765625,0.43300604820251465,0.014751737547250869,9.896589040756226,9.896589040756226,9.896589040756226,0.0,0.0,0.0,0.0,0.0,9.896589040756226,351105.31372882845,245.74123366995588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.633663366336634,101,42,11.0,14,74,19,3,20,22,28,3,18,22,25,18,13,2,2,2,2,19,3,2,19,2,48,18,2222,42,1,2,30,12,0,2188,244,2432,3474745,192.168.37.39,94.23.150.81
youtube,streaming,0.007450886546535478,0.00013399124145507812,2.153156042098999,0.07277365725238104,0.06276664552809316,0.00015091896057128906,2.153156042098999,0.21312956039913822,0.005596780207862431,0.0002810955047607422,1.893347978591919,0.058051877015734915,3.881986975669861,0.24054312705993652,7.523430824279785,3.6414438486099243,2.153156042098999,2.153156042098999,2.153156042098999,0.0,9.91712999343872,190004.46714388864,134.21221672808602,1,1,1,1,1,1,1,1,1,1,17.432835820895523,67,37,15.166666666666666,6,39,5,5,20,31,12,22,22,13,22,3,20,6,19,5,2,39,0,0,0,0,25,14,1187,1,0,10,2,26,34,1173,158,1331,1884299,192.168.37.39,94.23.150.81
youtube,streaming,0.006623435084971427,0.00011396408081054688,0.7651669979095459,0.0443641625567572,0.045959798383041164,0.000125885009765625,0.8812880516052246,0.12571768858000812,0.004255376974113374,0.00012302398681640625,0.8479840755462646,0.028948229139783795,9.789437055587769,9.789437055587769,9.789437055587769,0.0,0.0,0.0,0.0,0.0,9.789437055587769,214596.4050916375,150.979059531964,1,1,1,1,1,1,1,1,1,1,20.35483870967742,62,52,14.363636363636363,11,62,11,12,17,23,26,21,22,2,25,7,23,12,2,16,2,2,2,14,2,21,36,2,1284,21,0,32,15,25,0,1265,213,1478,2100778,192.168.37.39,94.23.150.81
youtube,streaming,0.007484816297700134,0.00010204315185546875,1.882220983505249,0.07414262686090438,0.05598111124433709,0.00010204315185546875,1.882220983505249,0.20432354356820162,0.004270683140515192,0.0002579689025878906,0.819256067276001,0.028004355708693814,9.460807800292969,9.460807800292969,9.460807800292969,0.0,0.0,0.0,0.0,0.0,9.460807800292969,188778.06607007637,133.6038134038468,1,1,-1,-1,-1,-1,-1,-1,-1,-1,19.854545454545455,55,49,12.0,10,55,11,17,25,24,23,21,5,17,11,35,2,10,2,2,2,2,4,16,25,55,27,1,1107,27,0,2,2,12,33,1095,169,1264,1785993,192.168.37.39,94.23.150.81
youtube,streaming,0.007766371376429622,0.00011301040649414062,2.070488929748535,0.07365332405762282,0.055505422549059165,0.00013399124145507812,2.070488929748535,0.19895313790618607,0.005775070804006913,0.00014090538024902344,1.421947956085205,0.0548899846736905,3.8769854307174683,0.028673887252807617,7.725296974182129,3.8483115434646606,2.070488929748535,2.070488929748535,2.070488929748535,0.0,9.824459791183472,181892.85090297417,128.76026029799812,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.865384615384617,52,45,12.0,11,55,17,11,32,34,21,27,24,2,31,29,2,2,17,2,2,14,2,10,8,18,13,8,1107,14,0,16,21,27,12,1088,177,1265,1786999,192.168.37.39,94.23.150.81
youtube,streaming,0.009628783878820431,0.00010204315185546875,2.8060660362243652,0.1000035358314302,0.10633076390912456,0.0001800060272216797,3.565232992172241,0.3876952076207891,0.009259860827019179,0.00010800361633300781,3.8831729888916016,0.13028419879115452,3.5413475036621094,2.046847105026245,5.035847902297974,1.4945003986358643,2.8060660362243652,2.8060660362243652,2.8060660362243652,0.0,9.888761043548584,150100.19894942842,103.85527524401185,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.923076923076923,52,37,8.6,5,17,11,11,18,2,17,34,18,37,14,14,17,9,3,10,4,0,0,0,0,0,31,2,928,1,0,0,1,19,10,934,93,1027,1484305,192.168.37.39,94.23.150.81
youtube,streaming,0.008726493850428396,8.296966552734375e-05,1.4844729900360107,0.06566681373177938,0.04908414036815703,0.00012111663818359375,1.4844729900360107,0.1563851233402964,0.010471792620514076,0.00013303756713867188,5.497749090194702,0.18128806314238227,10.000561952590942,10.000561952590942,10.000561952590942,0.0,0.0,0.0,0.0,0.0,10.000561952590942,158652.284493767,114.59356038518362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.06,50,38,21.0,7,101,11,19,20,20,21,28,19,32,29,26,2,12,2,10,4,16,101,0,0,0,20,36,970,36,1,1,24,24,1,955,191,1146,1586612,192.168.37.39,94.23.150.81
