APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,SVC,68,844,75,20979,1230,0.9183895538628944,0.4069431051108968,0.5639826261276312,0.9435748875821515
facebook,10,2,SVC,68,383,150,21172,1423,0.7185741088180112,0.21207087486157253,0.3274903805044891,0.9319872016603251
instagram,10,2,SVC,68,1316,152,20953,707,0.896457765667575,0.6505190311418685,0.7539386995130335,0.9628588723625043
replaio_radio,10,2,SVC,68,1714,28,21293,93,0.983926521239954,0.9485334809075816,0.965905888982812,0.9947682462815635
skype,10,2,SVC,68,1606,39,20015,1468,0.9762917933130699,0.5224463240078074,0.6806526806526807,0.934840885506745
spotify,10,2,SVC,68,1302,142,18197,3487,0.9016620498614959,0.27187304238880766,0.4177763516765602,0.8430906260809409
torbrowser_alpha,10,2,SVC,68,570,70,21717,771,0.890625,0.4250559284116331,0.5754669358909641,0.9636371497751643
twitch,10,2,SVC,68,761,74,21379,914,0.911377245508982,0.45432835820895523,0.6063745019920319,0.9572812175717744
utorrent,10,2,SVC,68,2110,10756,10260,2,0.163998134618374,0.9990530303030303,0.28174656162371475,0.5348495330335524
youtube,10,2,SVC,68,894,142,20559,1533,0.862934362934363,0.3683559950556242,0.5163153335258446,0.9275769629885853
