APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,KNN,68,973,2760,18294,1101,0.2606482721671578,0.4691417550626808,0.3351127949027037,0.8330594949844344
facebook,10,2,KNN,68,305,424,20898,1501,0.41838134430727025,0.1688815060908084,0.2406311637080868,0.9167675544794189
instagram,10,2,KNN,68,1006,333,20772,1017,0.7513069454817027,0.4972812654473554,0.5984533016061868,0.9416291940505016
replaio_radio,10,2,KNN,68,1670,110,21211,137,0.9382022471910112,0.9241837299391257,0.9311402286032896,0.9893203043929436
skype,10,2,KNN,68,1596,486,19568,1478,0.7665706051873199,0.5191932335718933,0.6190845616757177,0.915081286751989
spotify,10,2,KNN,68,1169,227,18112,3620,0.8373925501432665,0.2441010649404886,0.3780113177041229,0.8336648218609478
torbrowser_alpha,10,2,KNN,68,342,97,21690,999,0.7790432801822323,0.2550335570469799,0.38426966292134834,0.9526115530958146
twitch,10,2,KNN,68,675,294,21159,1000,0.6965944272445821,0.40298507462686567,0.510590015128593,0.9440505015565548
utorrent,10,2,KNN,68,1741,7959,13057,371,0.17948453608247422,0.8243371212121212,0.29478496444293933,0.6398305084745762
youtube,10,2,KNN,68,698,263,20438,1729,0.7263267429760666,0.2875978574371652,0.41204250295159384,0.9138706329989623
