APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,XGB,68,1018,149,20905,1056,0.8723221936589546,0.49083895853423337,0.6282011724776304,0.947898650985818
facebook,10,2,XGB,68,488,250,21072,1318,0.6612466124661247,0.2702104097452935,0.3836477987421384,0.9322033898305084
instagram,10,2,XGB,68,1577,1,21104,446,0.9993662864385298,0.7795353435491844,0.8758678144959733,0.9806727775856106
replaio_radio,10,2,XGB,68,1745,8,21313,62,0.995436394751854,0.965688987271721,0.9803370786516854,0.9969733656174334
skype,10,2,XGB,68,3030,7208,12846,44,0.2959562414534089,0.9856864020819779,0.4552283653846154,0.6864406779661016
spotify,10,2,XGB,68,1439,3,18336,3350,0.9979195561719834,0.3004802672791815,0.46188412774835497,0.8550242130750605
torbrowser_alpha,10,2,XGB,68,827,1732,20055,514,0.32317311449785074,0.6167039522744221,0.42410256410256414,0.9028882739536492
twitch,10,2,XGB,68,815,24,21429,860,0.9713945172824792,0.48656716417910445,0.6483691328560063,0.9617779315115876
utorrent,10,2,XGB,68,1149,693,20323,963,0.6237785016286646,0.5440340909090909,0.5811836115326252,0.9283984780352819
youtube,10,2,XGB,68,966,6,20695,1461,0.9938271604938271,0.3980222496909765,0.5684024713150927,0.9365703908682117
